x,y,yaw,curvature,speed
0.122250,0.337676,-0.476203,2.736384,1.000
0.215217,0.301060,-0.307228,1.365478,1.000
0.312309,0.277375,-0.170789,1.375900,1.000
0.411725,0.267169,-0.061160,0.824103,1.000
0.511697,0.265165,-0.010821,0.184376,1.000
0.611696,0.265005,-0.000826,0.015556,1.000
0.711696,0.265000,-0.000024,0.000479,1.000
0.811696,0.265000,0.000000,0.000000,1.000
0.911696,0.265000,0.000000,0.000000,1.000
1.011696,0.265000,0.000000,0.000000,1.000
1.111696,0.265000,0.000000,0.000000,1.000
1.211696,0.265000,0.000000,0.000000,1.000
1.311696,0.265000,0.000000,0.000000,1.000
1.411696,0.265000,0.000000,0.000000,1.000
1.511696,0.265000,0.000119,0.002372,1.000
1.611696,0.265024,0.002726,0.049777,1.000
1.711695,0.265545,0.024593,0.387757,1.000
1.811579,0.269940,0.093668,0.996373,1.000
1.910507,0.284222,0.164588,0.424459,1.000
2.008780,0.302694,0.142736,-0.862951,1.000
2.108229,0.312638,0.060671,-0.780809,1.000
2.208195,0.314807,0.012387,-0.186311,1.000
2.308194,0.315115,0.009663,0.131815,1.000
2.408177,0.316740,0.051170,0.699378,1.000
2.507758,0.325335,0.132967,0.939209,1.000
2.606126,0.343217,0.167242,-0.251668,1.000
2.704891,0.358615,0.105020,-0.995298,1.000
2.804698,0.364148,0.031809,-0.471596,1.000
2.904692,0.364973,0.006677,-0.031450,1.000
3.004691,0.365483,0.022686,0.351796,1.000
3.104588,0.369508,0.090205,1.001471,1.000
3.203535,0.383469,0.181732,0.832678,1.000
3.301040,0.405608,0.232054,0.175585,1.000
3.398154,0.429459,0.243646,0.056278,1.000
3.495132,0.453856,0.243108,-0.067035,1.000
3.592271,0.477603,0.227822,-0.238764,1.000
3.689930,0.499020,0.169984,-0.920437,1.000
3.789077,0.511383,0.078286,-0.917119,1.000
3.889002,0.514636,0.018019,-0.290659,1.000
3.989001,0.514985,0.001819,-0.033444,1.000
4.089001,0.515000,0.000073,-0.001469,1.000
4.189001,0.515000,0.000008,0.000161,1.000
4.289001,0.515002,0.000392,0.007514,1.000
4.389001,0.515078,0.006101,0.106685,1.000
4.488990,0.516222,0.039795,0.567892,1.000
4.588703,0.523030,0.116658,0.972052,1.000
4.687303,0.539462,0.167242,0.042085,1.000
4.785837,0.556310,0.121338,-0.962531,1.000
4.885512,0.563631,0.043398,-0.598944,1.000
4.985499,0.564980,0.012472,-0.020368,1.000
5.085489,0.566125,0.038179,0.535105,1.000
5.185226,0.572609,0.113691,0.977815,1.000
5.283868,0.588777,0.167242,0.095694,1.000
5.382360,0.605889,0.124314,-0.956567,1.000
5.482011,0.613536,0.045429,-0.623786,1.000
5.581996,0.614965,0.012472,-0.036218,1.000
5.681988,0.616031,0.036148,0.510272,1.000
5.781749,0.622188,0.110715,0.983743,1.000
5.880433,0.638092,0.167242,0.149303,1.000
5.978882,0.655468,0.127284,-0.950684,1.000
6.078509,0.663441,0.047231,-0.653046,1.000
6.178494,0.664903,0.009056,-0.111403,1.000
6.278493,0.665252,0.014460,0.219537,1.000
6.378445,0.667795,0.066201,0.816979,1.000
6.477807,0.678466,0.146402,0.789373,1.000
6.576080,0.696937,0.160927,-0.497892,1.000
6.675096,0.710492,0.088131,-0.960343,1.000
6.774994,0.714513,0.022483,-0.355135,1.000
6.874992,0.714987,0.003551,-0.023687,1.000
6.974991,0.715224,0.012909,0.210909,1.000
7.074951,0.717568,0.063292,0.798309,1.000
7.174358,0.727859,0.144483,0.827897,1.000
7.272631,0.746330,0.162875,-0.458814,1.000
7.371601,0.760272,0.091994,-0.961041,1.000
7.471486,0.764675,0.035249,-0.176232,1.000
7.571444,0.767319,0.062974,0.731884,1.000
7.670896,0.777250,0.142837,0.867652,1.000
7.769163,0.795754,0.168066,-0.361467,1.000
7.868008,0.810693,0.121996,-0.560437,1.000
7.967564,0.820079,0.132994,0.781287,1.000
8.066033,0.837185,0.222913,1.020412,1.000
8.162297,0.864221,0.276936,0.062825,1.000
8.258394,0.891862,0.250165,-0.598767,1.000
8.355962,0.913706,0.231777,0.230667,1.000
8.452964,0.937784,0.322797,1.600324,1.000
8.544856,0.976890,0.462765,1.212378,1.000
8.631456,1.026833,0.583891,1.220464,1.000
8.711299,1.086866,0.655422,0.214422,1.000
8.789881,1.148630,0.673103,0.139834,1.000
8.867416,1.211341,0.925336,5.227384,1.000
8.905679,1.302398,1.331152,3.233805,1.000
8.913979,1.401908,1.524382,0.736978,1.000
8.914945,1.501899,1.565707,0.091416,1.000
8.914997,1.601899,1.571055,0.015544,1.000
