s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,0.1272327,0.6180978,-2.6237617,0.4961178,3.0000000,0.0000000
0.1996761,0.2361776,0.4472682,-2.5249635,0.4673827,3.0000000,0.0000000
0.3993522,0.3581593,0.2906493,-2.4341377,0.4780560,3.0000000,0.0000000
0.5990284,0.4936669,0.1468033,-2.3376109,0.4896122,3.0000000,0.0000000
0.7987045,0.6435977,0.0155592,-2.2435418,0.4526861,3.0000000,0.0000000
0.9983806,0.8048805,-0.1012642,-2.1513259,0.4670249,3.0000000,0.0000000
1.1980567,0.9756957,-0.2022232,-2.0571242,0.4865576,3.0000000,0.0000000
1.3977329,1.1567720,-0.2868167,-1.9581597,0.4983633,3.0000000,0.0000000
1.5974090,1.3467484,-0.3533767,-1.8571724,0.5050925,3.0000000,0.0000000
1.7970851,1.5392170,-0.3999672,-1.7604631,0.4734191,3.0000000,0.0000000
1.9967612,1.7368857,-0.4285074,-1.6696350,0.4214690,3.0000000,0.0000000
2.1964374,1.9372755,-0.4403543,-1.5924568,0.3497864,3.0000000,0.0000000
2.3961135,2.1356428,-0.4383932,-1.5327858,0.2499207,3.0000000,0.0000000
2.5957896,2.3359047,-0.4263719,-1.4917425,0.1681707,3.0000000,0.0000000
2.7954657,2.5342112,-0.4076175,-1.4627233,0.1242134,3.0000000,0.0000000
2.9951419,2.7326192,-0.3838636,-1.4418554,0.0852787,3.0000000,0.0000000
3.1948180,2.9308584,-0.3566804,-1.4283579,0.0502610,3.0000000,0.0000000
3.3944941,3.1281006,-0.3276413,-1.4223511,0.0075048,3.0000000,0.0000000
3.5941702,3.3263505,-0.2981440,-1.4253000,-0.0364706,3.0000000,0.0000000
3.7938464,3.5235900,-0.2702770,-1.4371101,-0.0821995,3.0000000,0.0000000
3.9935225,3.7223406,-0.2455160,-1.4580859,-0.1258263,3.0000000,0.0000000
4.1931986,3.9206741,-0.2256924,-1.4848203,-0.1424898,3.0000000,0.0000000
4.3928747,4.1201836,-0.2114706,-1.5149152,-0.1526507,3.0000000,0.0000000
4.5925509,4.3196706,-0.2031985,-1.5430047,-0.1290145,3.0000000,0.0000000
4.7922270,4.5195454,-0.2000697,-1.5664707,-0.1035601,3.0000000,0.0000000
4.9919031,4.7194207,-0.2010510,-1.5838293,-0.0701707,3.0000000,0.0000000
5.1915792,4.9193272,-0.2048366,-1.5945221,-0.0368684,3.0000000,0.0000000
5.3912553,5.1191112,-0.2100904,-1.5985179,-0.0027757,3.0000000,0.0000000
5.5909315,5.3189628,-0.2154410,-1.5952724,0.0372058,3.0000000,0.0000000
5.7906076,5.5181471,-0.2192797,-1.5833291,0.0832950,3.0000000,0.0000000
5.9902837,5.7178552,-0.2199013,-1.5639383,0.1032618,3.0000000,0.0000000
6.1899598,5.9168856,-0.2164346,-1.5425617,0.1111025,3.0000000,0.0000000
6.3896360,6.1167178,-0.2083271,-1.5166075,0.1498694,3.0000000,0.0000000
6.5893121,6.3158128,-0.1942622,-1.4825679,0.1897317,3.0000000,0.0000000
6.7889882,6.5146340,-0.1726401,-1.4412094,0.2246662,3.0000000,0.0000000
6.9886643,6.7123563,-0.1421023,-1.3930729,0.2496650,3.0000000,0.0000000
7.1883405,6.9074855,-0.1019215,-1.3417996,0.2665578,3.0000000,0.0000000
7.3880166,7.1022291,-0.0509327,-1.2877389,0.2667998,3.0000000,0.0000000
7.5876927,7.2914762,0.0096067,-1.2345941,0.2646281,3.0000000,0.0000000
7.7873688,7.4791058,0.0806257,-1.1842338,0.2371677,3.0000000,0.0000000
